Time,FLR_3_DOAS:DesPer 1:Des Heat Mass Flow [kg/s],FLR_3_DOAS:DesPer 1:Des Heat Cap [W],FLR_3_DOAS:DesPer 1:Des Cool Mass Flow [kg/s],FLR_3_DOAS:DesPer 1:Des Sens Cool Cap [W],FLR_3_DOAS:DesPer 1:Des Tot Cool Cap [W],FLR_3_DOAS:DesPer 2:Des Heat Mass Flow [kg/s],FLR_3_DOAS:DesPer 2:Des Heat Cap [W],FLR_3_DOAS:DesPer 2:Des Cool Mass Flow [kg/s],FLR_3_DOAS:DesPer 2:Des Sens Cool Cap [W],FLR_3_DOAS:DesPer 2:Des Tot Cool Cap [W],FLR_6_DOAS:DesPer 1:Des Heat Mass Flow [kg/s],FLR_6_DOAS:DesPer 1:Des Heat Cap [W],FLR_6_DOAS:DesPer 1:Des Cool Mass Flow [kg/s],FLR_6_DOAS:DesPer 1:Des Sens Cool Cap [W],FLR_6_DOAS:DesPer 1:Des Tot Cool Cap [W],FLR_6_DOAS:DesPer 2:Des Heat Mass Flow [kg/s],FLR_6_DOAS:DesPer 2:Des Heat Cap [W],FLR_6_DOAS:DesPer 2:Des Cool Mass Flow [kg/s],FLR_6_DOAS:DesPer 2:Des Sens Cool Cap [W],FLR_6_DOAS:DesPer 2:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 2:Des Tot Cool Cap [W]
00:15:00,5.059611E+01,1.962499E+06,4.835313E+01,0.000000E+00,0.000000E+00,4.835313E+01,0.000000E+00,5.096997E+01,4.837759E+05,1.639044E+06,1.724959E+00,6.690690E+04,1.381994E+00,0.000000E+00,0.000000E+00,1.381994E+00,0.000000E+00,1.660578E+00,1.576120E+04,5.339928E+04,1.477944E+01,5.239855E+05,1.405350E+01,0.000000E+00,0.000000E+00,1.405350E+01,0.000000E+00,2.900897E+01,3.058186E+05,6.742846E+05
00:30:00,5.059607E+01,1.962497E+06,4.835313E+01,0.000000E+00,0.000000E+00,4.835313E+01,0.000000E+00,5.094916E+01,4.753614E+05,1.607433E+06,1.724959E+00,6.690690E+04,1.381994E+00,0.000000E+00,0.000000E+00,1.381994E+00,0.000000E+00,1.655577E+00,1.544672E+04,5.223305E+04,1.482457E+01,5.238176E+05,1.405350E+01,0.000000E+00,0.000000E+00,1.405350E+01,0.000000E+00,2.902302E+01,3.037653E+05,6.664043E+05
00:45:00,5.059602E+01,1.962495E+06,4.835313E+01,0.000000E+00,0.000000E+00,4.835313E+01,0.000000E+00,5.092887E+01,4.669583E+05,1.576073E+06,1.724959E+00,6.690690E+04,1.381994E+00,0.000000E+00,0.000000E+00,1.381994E+00,0.000000E+00,1.650757E+00,1.513551E+04,5.108525E+04,1.486968E+01,5.236502E+05,1.405350E+01,0.000000E+00,0.000000E+00,1.405350E+01,0.000000E+00,2.903882E+01,3.017313E+05,6.583888E+05
01:00:00,5.059598E+01,1.962494E+06,4.835313E+01,0.000000E+00,0.000000E+00,4.835313E+01,0.000000E+00,5.090908E+01,4.585662E+05,1.544959E+06,1.724958E+00,6.690690E+04,1.381994E+00,0.000000E+00,0.000000E+00,1.381994E+00,0.000000E+00,1.646102E+00,1.482735E+04,4.995493E+04,1.491480E+01,5.234831E+05,1.405350E+01,0.000000E+00,0.000000E+00,1.405350E+01,0.000000E+00,2.905624E+01,2.997157E+05,6.504524E+05
01:15:00,5.059594E+01,1.962492E+06,4.835313E+01,0.000000E+00,0.000000E+00,4.835313E+01,0.000000E+00,5.088995E+01,4.529222E+05,1.524165E+06,1.724958E+00,6.690690E+04,1.381994E+00,0.000000E+00,0.000000E+00,1.381994E+00,0.000000E+00,1.641628E+00,1.461054E+04,4.916712E+04,1.495992E+01,5.233164E+05,1.405350E+01,0.000000E+00,0.000000E+00,1.405350E+01,0.000000E+00,2.908024E+01,2.985449E+05,6.454657E+05
01:30:00,5.059590E+01,1.962491E+06,4.835313E+01,0.000000E+00,0.000000E+00,4.835313E+01,0.000000E+00,5.087147E+01,4.472880E+05,1.503497E+06,1.724958E+00,6.690690E+04,1.381994E+00,0.000000E+00,0.000000E+00,1.381994E+00,0.000000E+00,1.637326E+00,1.439621E+04,4.839087E+04,1.500505E+01,5.231501E+05,1.405350E+01,0.000000E+00,0.000000E+00,1.405350E+01,0.000000E+00,2.910754E+01,2.974164E+05,6.405610E+05
01:45:00,5.059590E+01,1.962491E+06,4.835313E+01,0.000000E+00,0.000000E+00,4.835313E+01,0.000000E+00,5.085350E+01,4.416623E+05,1.482948E+06,1.724958E+00,6.690690E+04,1.381994E+00,0.000000E+00,0.000000E+00,1.381994E+00,0.000000E+00,1.633166E+00,1.418403E+04,4.762503E+04,1.500505E+01,5.231501E+05,1.405350E+01,0.000000E+00,0.000000E+00,1.405350E+01,0.000000E+00,2.905750E+01,2.953264E+05,6.343604E+05
02:00:00,5.059591E+01,1.962491E+06,4.835313E+01,0.000000E+00,0.000000E+00,4.835313E+01,0.000000E+00,5.083598E+01,4.360442E+05,1.462515E+06,1.724958E+00,6.690690E+04,1.381994E+00,0.000000E+00,0.000000E+00,1.381994E+00,0.000000E+00,1.629144E+00,1.397394E+04,4.686931E+04,1.500506E+01,5.231501E+05,1.405350E+01,0.000000E+00,0.000000E+00,1.405350E+01,0.000000E+00,2.900854E+01,2.932509E+05,6.282009E+05
02:15:00,5.059591E+01,1.962491E+06,4.835313E+01,0.000000E+00,0.000000E+00,4.835313E+01,0.000000E+00,5.081895E+01,4.318002E+05,1.447147E+06,1.724958E+00,6.690690E+04,1.381994E+00,0.000000E+00,0.000000E+00,1.381994E+00,0.000000E+00,1.625281E+00,1.380974E+04,4.628234E+04,1.500509E+01,5.231500E+05,1.405350E+01,0.000000E+00,0.000000E+00,1.405350E+01,0.000000E+00,2.896109E+01,2.915717E+05,6.234554E+05
02:30:00,5.059592E+01,1.962491E+06,4.835313E+01,0.000000E+00,0.000000E+00,4.835313E+01,0.000000E+00,5.080245E+01,4.275632E+05,1.431853E+06,1.724958E+00,6.690690E+04,1.381994E+00,0.000000E+00,0.000000E+00,1.381994E+00,0.000000E+00,1.621578E+00,1.364752E+04,4.570374E+04,1.500511E+01,5.231499E+05,1.405350E+01,0.000000E+00,0.000000E+00,1.405350E+01,0.000000E+00,2.891529E+01,2.899122E+05,6.187489E+05
