Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),BASEMENT_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),CORE_BOTTOM_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),CORE_MID_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),CORE_TOP_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_BOT_ZN_1_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_BOT_ZN_2_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_BOT_ZN_3_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_BOT_ZN_4_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_MID_ZN_1_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_MID_ZN_2_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_MID_ZN_3_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_MID_ZN_4_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_TOP_ZN_1_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_TOP_ZN_2_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_TOP_ZN_3_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_TOP_ZN_4_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),EMS:currentDayOfMonth [](TimeStep),EMS:currentDayOfWeek [](TimeStep),EMS:currentTimeOfDay [](TimeStep),EMS:currentHoliday [](TimeStep),BASEMENT:Zone Air Temperature [C](TimeStep),CORE_BOTTOM:Zone Air Temperature [C](TimeStep),CORE_MID:Zone Air Temperature [C](TimeStep),CORE_TOP:Zone Air Temperature [C](TimeStep),GROUNDFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),MIDFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_4:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_4:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_4:Zone Air Temperature [C](TimeStep),TOPFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),Whole Building:Facility Total Building Electric Demand Power [W](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),HW-LOOP-TEMP-SCHEDULE:Schedule Value [](TimeStep),CW-LOOP-TEMP-SCHEDULE:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),BLDG_LIGHT_SCH:Schedule Value [](TimeStep),COOLSYS1 CHILLER 1:Chiller Evaporator Outlet Temperature [C](TimeStep),COOLSYS1 CHILLER 2:Chiller Evaporator Outlet Temperature [C](TimeStep),HEATSYS1 BOILER:Boiler Outlet Temperature [C](TimeStep) 
 07/01  00:05:00,22.7333333333333,20.2498447537494,80.1666666666667,2.30833333333333,178.333333333333,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,8.333333333333333E-002,0.0,24.2659606464176,23.9761246141116,23.9806320590564,23.9758796720849,24.7505785974784,24.700972693418,23.7881947555478,22.2916849523399,23.8716398351306,22.2359184823634,23.6603343752521,22.0612842482398,23.8605027170214,22.0264271510578,23.799510801708,22.385618852767,23.8623147970206,22.0728921554788,24.6627058949403,237926.742540856,347116.176215969,585042.918756825,15.6,82.2,6.7,24.,5.000000000000000E-002,6.7,6.7,76.6966489883692 
 07/01  00:10:00,22.7666666666667,20.171290993682,79.3333333333333,2.51666666666667,186.666666666667,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.166666666666667,0.0,24.52152144301,23.9019781692942,23.921784940506,23.8999017603076,24.6267848821972,24.5646161000735,23.3735401582665,21.7522609087404,23.5214245571248,21.6699536244029,23.2275627364684,21.5179935307015,23.4803161623709,21.4483979106719,23.3546690091223,21.8326977021398,23.4980598136877,21.4811830085183,24.5032886121581,237926.742540856,330482.489772132,568409.232312988,15.6,82.2,6.7,27.,5.000000000000000E-002,6.7,6.7,76.6966489883692 
 07/01  00:15:00,22.8,20.0920880576265,78.5,2.725,195.,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.25,0.0,24.645662698549,23.8567071982867,23.8817808610488,23.8504240370187,24.5491070888271,24.4832778632808,23.2515022493631,21.6292289457472,23.4117354400714,21.5431420842272,23.1019783029614,21.3930989431798,23.3634008521217,21.3187164571731,23.2243509948465,21.7009124539817,23.383671333571,21.3474698605099,24.4140857912035,237926.742540856,327137.907801485,565064.650342341,15.6,82.2,6.7,27.,5.000000000000000E-002,6.7,6.7,76.6966489883692 
 07/01  00:20:00,22.8333333333333,20.0122132707474,77.6666666666667,2.93333333333333,203.333333333333,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.333333333333333,0.0,24.7363831068816,23.8199619388764,23.8480689444983,23.8093507173177,24.4917983327778,24.4244200968569,23.1822764977708,21.5645845046597,23.3480074324599,21.4768456460814,23.0318614147225,21.3266253669815,23.2957754384114,21.2493920438379,23.1500680875506,21.6287195158435,23.3149321307748,21.2745693025895,24.3450240577817,237926.742540856,325326.032295095,563252.774835951,15.6,82.2,6.7,27.,5.000000000000000E-002,6.7,6.7,76.6966489883692 
 07/01  00:25:00,22.8666666666667,19.9316656965657,76.8333333333333,3.14166666666667,211.666666666667,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.416666666666667,0.0,24.7965882356584,23.7886268472318,23.8184076587746,23.7730794909069,24.4500187048676,24.3819882213181,23.1352140205299,21.5200231485789,23.3036427563834,21.4303601835586,22.9835715815892,21.2800679867226,23.2485250178315,21.1994968152526,23.0975271183568,21.5768785565616,23.2646839301056,21.2208631893216,24.2903346668935,237926.742540856,323619.967755343,561546.7102962,15.6,82.2,6.7,27.,5.000000000000000E-002,6.7,6.7,76.6966489883692 
 07/01  00:30:00,22.9,19.8504550328849,76.,3.35,220.,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.5,0.0,24.8356776038803,23.7613027702623,23.7919251213408,23.7402949593507,24.4183097753467,24.3498629325261,23.0986516733411,21.4845176627016,23.2687422921049,21.3929101928559,22.9455281048033,21.2424092007965,23.211394678844,21.1584375866607,23.0550688545481,21.5340020790974,23.2236368072474,21.1758250981996,24.2436759949091,237926.742540856,321922.46937124,559849.211912096,15.6,82.2,6.7,27.,5.000000000000000E-002,6.7,6.7,76.6966489883692 
 07/01  00:35:00,22.9333333333333,19.7685478079369,75.1666666666667,3.55833333333333,228.333333333333,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.583333333333333,0.0,24.8548636108483,24.2430145151624,24.2933785917718,24.3154916168143,24.6182314167684,24.5626567322776,23.8388093287602,22.6955825768009,23.9234773703008,22.7202021106693,23.733599204089,22.4676699285162,23.8903241797868,22.5320847623183,23.8622176206547,22.7586519777696,23.9459200309701,22.5911357178113,24.4205875275311,237926.742540856,2.25299909442151,237928.995539951,15.6,82.2,6.7,27.,5.000000000000000E-002,9.16674944124034,9.16674944124034,76.6966489883692 
 07/01  00:40:00,22.9666666666667,19.6859534820878,74.3333333333333,3.76666666666667,236.666666666667,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.666666666666667,0.0,24.8725540208978,24.6587964724078,24.7244103549414,24.8001299462886,24.7922475972259,24.7468857106255,24.3742871257957,23.5280864363353,24.3997024541742,23.6217218707609,24.3004956344558,23.3078428863344,24.3834349643029,23.4597328322357,24.4371181536631,23.5927045650106,24.4637264817334,23.5390159021363,24.5519543628676,237926.742540856,2.25369476712051,237928.996235623,15.6,82.2,6.7,27.,5.000000000000000E-002,9.16674944124034,9.16674944124034,76.6966489883692 
 07/01  00:45:00,23.,19.6026694467392,73.5,3.975,245.,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.75,0.0,24.8833128618818,24.9304431786815,25.0046320430761,25.1089346666146,24.9051934613702,24.865576212815,24.6666805060048,23.970091967648,24.6604030401365,24.0967561322136,24.6078379109976,23.751433821259,24.6520602815594,23.9439147517429,24.7448712051897,24.0287450835457,24.7417263795401,24.0300325128435,24.6204049762247,237926.742540856,2.25477111141916,237928.997311968,15.6,82.2,6.7,27.,5.000000000000000E-002,9.16674944124034,9.16674944124034,76.6966489883692 
 07/01  00:50:00,23.0333333333333,19.5186647384434,72.6666666666667,4.18333333333333,253.333333333333,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.833333333333333,0.0,24.890715802143,25.1689695380474,25.248732224758,25.3725092445976,25.0033265379255,24.9679337968403,24.8850578225942,24.2943467142588,24.8559597569555,24.4430790954482,24.834510982564,24.0742296218416,24.851076986668,24.2921874203127,24.9686767903499,24.3419789393922,24.9444074985224,24.3800324228586,24.6712205760672,237926.742540856,2.25623558127218,237928.998776438,15.6,82.2,6.7,27.,5.000000000000000E-002,9.16674944124034,9.16674944124034,76.6966489883692 
